ds,y
2000-01-03,631.7630422
2000-01-04,631.7630422
2000-01-05,631.7630422
2000-01-06,631.7630422
2000-01-07,631.7630422
2000-01-11,805.4978788
2000-01-12,805.4978788
2000-01-13,979.2327154
2000-01-14,789.7038027
2000-01-17,868.674183
2000-01-18,868.674183
2000-01-19,868.674183
2000-01-20,868.674183
2000-01-21,868.674183
2000-01-24,868.674183
2000-01-25,789.7038027
2000-01-26,789.7038027
2000-01-27,631.7630422
2000-01-28,631.7630422
2000-01-31,631.7630422
2000-02-01,631.7630422
2000-02-02,631.7630422
2000-02-03,631.7630422
2000-02-04,631.7630422
2000-02-07,631.7630422
2000-02-08,631.7630422
2000-02-09,789.7038027
2000-02-10,789.7038027
2000-02-11,789.7038027
2000-02-14,789.7038027
2000-02-15,789.7038027
2000-02-16,789.7038027
2000-02-17,789.7038027
2000-02-18,789.7038027
2000-02-21,789.7038027
2000-02-22,789.7038027
2000-02-23,789.7038027
2000-02-24,789.7038027
2000-02-25,789.7038027
2000-02-28,789.7038027
2000-02-29,789.7038027
2000-03-01,789.7038027
2000-03-02,789.7038027
2000-03-03,789.7038027
2000-03-06,789.7038027
2000-03-07,789.7038027
2000-03-08,789.7038027
2000-03-09,789.7038027
2000-03-10,789.7038027
2000-03-13,789.7038027
2000-03-14,789.7038027
2000-03-15,789.7038027
2000-03-16,789.7038027
2000-03-17,789.7038027
2000-03-21,789.7038027
2000-03-22,789.7038027
2000-03-23,789.7038027
2000-03-24,789.7038027
2000-03-27,789.7038027
2000-03-28,789.7038027
2000-03-29,789.7038027
2000-03-30,789.7038027
2000-03-31,789.7038027
2000-04-03,789.7038027
2000-04-04,789.7038027
2000-04-05,789.7038027
2000-04-06,789.7038027
2000-04-07,789.7038027
2000-04-10,789.7038027
2000-04-11,789.7038027
2000-04-12,789.7038027
2000-04-13,789.7038027
2000-04-14,789.7038027
2000-04-17,789.7038027
2000-04-18,789.7038027
2000-04-19,789.7038027
2000-04-24,789.7038027
2000-04-25,789.7038027
2000-04-26,789.7038027
2000-04-27,789.7038027
2000-04-28,789.7038027
2000-05-02,1105.585324
2000-05-03,1105.585324
2000-05-04,1105.585324
2000-05-05,1105.585324
2000-05-08,1105.585324
2000-05-09,1105.585324
2000-05-10,1105.585324
2000-05-11,1105.585324
2000-05-12,1105.585324
2000-05-15,1105.585324
2000-05-16,1105.585324
2000-05-17,1105.585324
2000-05-18,1105.585324
2000-05-19,1105.585324
2000-05-22,1105.585324
2000-05-23,1105.585324
2000-05-24,1105.585324
2000-05-25,1105.585324
2000-05-26,1105.585324
2000-05-29,1105.585324
2000-05-30,1105.585324
2000-05-31,1105.585324
2000-06-02,789.7038027
2000-06-06,789.7038027
2000-06-07,789.7038027
2000-06-08,789.7038027
2000-06-09,789.7038027
2000-06-12,789.7038027
2000-06-13,789.7038027
2000-06-14,789.7038027
2000-06-15,789.7038027
2000-06-16,789.7038027
2000-06-19,789.7038027
2000-06-20,789.7038027
2000-06-21,789.7038027
2000-06-22,789.7038027
2000-06-23,789.7038027
2000-06-27,789.7038027
2000-06-28,789.7038027
2000-06-29,789.7038027
2000-06-30,789.7038027
2000-07-07,789.7038027
2000-07-10,789.7038027
2000-07-11,789.7038027
2000-07-12,789.7038027
2000-07-13,789.7038027
2000-07-14,789.7038027
2000-07-17,789.7038027
2000-07-18,789.7038027
2000-07-19,789.7038027
2000-07-21,789.7038027
2000-07-24,789.7038027
2000-07-25,789.7038027
2000-07-26,789.7038027
2000-07-27,789.7038027
2000-07-28,789.7038027
2000-07-31,631.7630422
2000-08-01,631.7630422
2000-08-02,631.7630422
2000-08-03,631.7630422
2000-08-04,631.7630422
2000-08-08,631.7630422
2000-08-09,631.7630422
2000-08-10,631.7630422
2000-08-11,631.7630422
2000-08-14,631.7630422
2000-08-15,631.7630422
2000-08-16,631.7630422
2000-08-17,631.7630422
2000-08-18,631.7630422
2000-08-22,631.7630422
2000-08-23,631.7630422
2000-08-24,631.7630422
2000-08-25,631.7630422
2000-08-28,631.7630422
2000-08-29,631.7630422
2000-08-30,631.7630422
2000-08-31,631.7630422
2000-09-01,631.7630422
2000-09-04,631.7630422
2000-09-05,631.7630422
2000-09-06,631.7630422
2000-09-07,631.7630422
2000-09-08,631.7630422
2000-09-11,631.7630422
2000-09-12,631.7630422
